PriceModelID;TariffID;EntryTime;ExitTime;StartTime;EndTime;Type;PriceType;Period;Unit;Price
GridTariff1;TimeOfUseWinter1;20200101T000000;;20201101T000000;20220301T000000;;Price per kWh;;NOK;0.08
GridTariff1;TimeOfUseSummer1;20200101T000000;;20210401T000000;20220301T000000;;Price per kWh;;NOK;0.049
FixedGridTariff1;FixedPrice1;20200101T000000;;20200101T000000;20220301T000000;;Price per time unit;Month;NOK;273
PeakTariff1;TimeOfUse1;20200101T000000;;20201101T000000;20220301T000000;;Price per kW ;;NOK;
PeakTariff1;TimeOfUse2;20200101T000000;;20201101T000000;20220301T000000;;Price per kW ;;NOK;
PeakTariff1;TimeOfUse3;20200101T000000;;20201101T000000;20220301T000000;;Price per kW ;;NOK;
PeakTariff1;TimeOfUse4;20200101T000000;;20201101T000000;20220301T000000;;Price per kW ;;NOK;
ElectricityTariff1;ElecPrice1;20200101T000000;;20200101T000000;20220301T000000;;Price per kWh;;NOK;0.2
Charging1;BookingFee1;20200101T000000;;20200101T000000;20220206T235959;Booking fee;Fixed price;;NOK;25
Charging1;BookingFee1;20220207T000000;;20220207T000000;20220301T000000;Booking fee;Price per time unit;Hour;NOK;12
Charging1;BlockingFee1;20200101T000000;;20200101T000000;20220301T000000;Blocking penalty (connected after the end time of the booked time slot);Price per time unit;Hour;NOK;25
Charging1;ParkingFee1;20200101T000000;;20200101T000000;20220206T235959;Parking fee;Price per time unit;Hour;NOK;12
Charging1;SubcriptionFee1;20200101T000000;;20200101T000000;20220301T000000;;Price per time unit;Month;NOK;62.5
Charging1;ChrPrice1;20200101T000000;;20200101T000000;20220206T235959;;;Price per kWh;;NOK;1.7
Charging1;ChrPrice1;20220207T000000;;20220207T000000;20220301T000000;;Price per kWh;;NOK;3.5
Service1;ServiceFee1;20200101T000000;;20200101T000000;20220301T000000;;;Price per kWh;;NOK;1.615
Service2;ServiceFee2;20200101T000000;;20200101T000000;20220301T000000;;Price per time unit;Month;NOK;1000
